Key,Beginnings,Endings,Arpeggios,Complete Scales,Alternating Thirds
C major,13,9,15,16,3
B major,8,9,7,6,2
Bb major,10,9,6,7,2
A major,9+1,5+6,10,8,2
Ab major,7+1,9+9,6,4,2
G major,14+8,5+9,9,10,2
Gb major,3+1+5+2+1,5+8+5+6+3,16,4,2
F major,10+1,5+6,11,5,3
E major,3+4,8+7,8,11,2
Eb major,0,0,9,27,2
B minor,4+2+1,6+6+6,7,0,3
Bb minor,2+4+1,5+6+4,8,0,2
A minor,8+2+1,7+5+3,9,0,2
G# minor,2+3+1+1,5+6+6+5,5,0,2
G minor,6+1+1,5+5+4,7,0,2
F# minor,6+1+2,5+4+6,7,0,2
F minor,4+2+2,4+5+5,8,0,2
E minor,6+1+1,5+5+4,8,0,2
Eb minor,3+1+2,4+5+5,8,0,2
D minor,5+2,6+5,8,0,2
C# minor,4+1+1,6+4+4,5,0,2
C minor,8+1,8+4,10,7,2
